Name,Park,City/Region,City/State/Region,Country/Region,Geographic Region,Construction,Type,Status,Year/Date Opened,Height (feet), Speed (mph),Length (feet),Inversions (YES or NO),Number of Inversions,Drop (feet),Duration (min:sec),G Force,Vertical Angle (degrees)
Tower of Terror II,Dreamworld,Coomera,Queensland,Australia,Oceana,Steel,Sit Down,Operating,1997,377.3,100,1235,NO,0,328.1,0:28,4.5,90
Twisted Colossus,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,Operating ,2015,121,57,4990,YES,2,128,3:40,,80
Twister II,Elitch Gardens,Denver,Colorado,United States,North America,Wood,Sit Down,Operating,1995,100,55,4640,NO,0,,,3.1,
Ultimate,Lightwater Valley,Ripn,"North Yorkshire, England",United Kingdom,Europe,Steel,Sit Down,Operating,1991,107,50,7442,NO,0,,,,
V2: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,Operating,2001,150,65,630,NO,0,,,,
Valravn,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,Operating,2016,223,75,3415,YES,3,214,,,90
Velikolukskiy Myasokombinat ,Wonder Island,Saint Petersburg,Saint Petersburg,Russia,Europe,Steel,Sit Down,Operating,2015,124,62.1,3464,YES,4,,2:30,3.8,
Velikolukskiy Myasokombinat-2,Wonder Island,Saint Petersburg,Saint Petersburg,Russia,Europe,Steel,Sit Down,Operating,2017,108,52.8,2870,YES,10,,,,
Vertical Velocity,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Inverted,Operating,2001,185,70,630,NO,0,,,,
Viper,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,Operating,1990,188,70,3830,YES,7,171,2:30,,
Viper,Six Flags Great America,Gurnee,Illinois,United States,North America,Wood,Sit Down,Operating,1995,100,50,3458,NO,0,80,1:45,,53
Vortex,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,Operating,1987,148,55,3800,YES,6,138,2:30,,55
Voyage,Holiday World,Santa Clause,Indiana,United States,North America,Wood,Sit Down,Operating,2006,159,67,6442,NO,0,154,2:45,,66
Whirl Wind Looping Coaster,Wonder Island,Saint Petersburg,Saint Petersburg,Russia,Russia,Steel,Sit Down,Operating,2003,64,37.3,1148,YES,2,,,,
Whizzer,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Sit Down,Operating,1976,70,42,3100,NO,0,64,2:00,,
Wicked Cyclone,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Sit Down,Operating,2015,109,55,3320,YES,3,,,,78
Wicked Twister,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Inverted,Operating,2002,215,72,215,NO,0,206,,,90
Wild One,Six Flags America,Upper Marlboro,Maryland,United States,North America,Wood,Sit Down,Operating,1986,98,53,4000,NO,0,88,1:52,,
Wild Thing,Valleyfair!,Shakopee,Minnesota,United States,North America,Steel,Sit Down,Operating,1996,207,74,5460,NO,0,196,3:00,,
Wild Thing,Wild Waves Theme Park,Federal Way,Washington,United States,North America,Steel,Sit Down,Operating,1997,75,40,1565,YES,3,64,1:00,,
Wildfire,Kolmarden,Norrkoping,Ostergotland,Sweden,Europe,Wood,Sit Down,Operating,2016,183.8,71.5,4150.3,YES,3,160.8,2:00,4,83
Winjas,Phantasialand,Bruhl ,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,Operating,2002,57.1,41,1526.6,NO,0,52.5,,,
Wodan Timbur Coaster,Europa Park,Rust ,Baden Wuerttemberg,Germany,Europe,Wood,Sit Down,Operating,2012,131.3,62.1,3444.9,NO,0,,3:25,3.5,
X2,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Wing,Operating,2002,175,76,3610,YES,2,215,,4,88.5
Xcelerator,Knott's Berry Farm,Buena Park,California,United States,North America,Steel,Sit Down,Operating,2002,145.3,63.2,3278.6,NO,0, ,1:02,,90
,,,,,,,,,,,,,,,,,,
Primary Data Sources:,,,,,,,,,,,,,,,,,,
https://rcdb.com/,,,,,,,,,,,,,,,,,,
https://www.ultimaterollercoaster.com/,,,,,,,,,,,,,,,,,,
https://coasterpedia.net/,,,,,,,,,,,,,,,,,,
